count,temperature,command,error,feedback     
   596,27, 155.50,  -0.29, 155.21
   597,27, 167.50,  -1.14, 166.36
   598,27,  57.00,   1.98,  58.98
   599,27,  64.00,   1.88,  65.88
   600,27,  81.00,   1.54,  82.54
   601,27, 149.50,   0.07, 149.57
   602,27, 166.50,  -0.76, 165.74
   603,27,  90.50,   2.19,  92.69
   604,27,  18.50,   0.52,  19.02
   605,28,  57.00,   2.24,  59.24
   606,27,  10.50,  -0.25,  10.25
   607,29, 158.50,  -0.16, 158.34
   608,27, 142.50,   0.68, 143.18
   609,29, 124.50,   1.64, 126.14
   610,29, 101.00,   2.09, 103.09
   611,27,  56.50,   1.98,  58.48
   612,29, 164.50,  -0.77, 163.73
   613,28, 130.00,   1.15, 131.15
   614,29,  86.50,   2.18,  88.68
   615,27,  64.00,   2.13,  66.13
   616,27,  25.50,   1.41,  26.91
   617,28, 112.50,   1.11, 113.61
   618,29, 162.00,  -0.40, 161.60
   619,27,  51.50,   1.97,  53.47
   620,29,  82.50,   2.30,  84.80
   621,29, 165.00,  -0.52, 164.48
   622,27, 104.50,   1.97, 106.47
   623,27, 113.00,   0.99, 113.99
   624,27, 161.50,  -0.28, 161.22
   625,27,  85.00,   2.43,  87.43
   626,27, 115.50,   1.50, 117.00
   627,27,  72.50,   2.40,  74.90
   628,27,  43.50,   2.20,  45.70
   629,27, 134.00,   0.66, 134.66
   630,27, 114.50,   1.62, 116.12
   631,27, 132.00,   0.91, 132.91
   632,27,  49.50,   1.84,  51.34
   633,27, 100.50,   1.59, 102.09
   634,27,  23.00,   1.15,  24.15
   635,27, 122.00,   1.01, 123.01
   636,27, 154.00,   0.33, 154.33
   637,27,  16.50,   0.76,  17.26
   638,27,  30.00,   1.42,  31.42
   639,27,  28.50,   1.92,  30.42
   640,27,  65.50,   2.00,  67.50
   641,27,  46.50,   1.96,  48.46
   642,27,  37.50,   2.06,  39.56
   643,29, 149.50,   0.07, 149.57
   644,27,  33.50,   1.55,  35.05
   645,27,  80.00,   2.41,  82.41
   646,27, 143.50,   0.56, 144.06
